"","ABS","AJA","AME","ANJ","ANN","ARN","ATI","BAI","BAQ","BCD","BEC","BEN","BIL","BNN","BNO","BRA","BUC","BUN","CAO","COC","COR","CRT","CUB","DAB","DAI","DAL","DAM","DEP","DET","DEV","DGG","DOO","DRO","DUN","EMU","ESK","EST","FAJ","FRA","GIN","GMP","GRE","GUI","HEA","HIP","HMT","IVA","JAC","JIM","JON","JUF","JUL","KAH","KAN","LEM","LGT","LIE","LIM","LIZ","MAA","MAL","MAR","MAV","MAY","MIT","MOE","MOJ","MSH","OPH","PAN","PAT","PIN","POO","PTA","PUN","RAD","RDA","RHY","RIO","ROG","SAL","SAM","SAS","SCT","SHO","SHR","SIL","SLM","SMO","SPI","SUN","TAM","TAP","TEQ","TIM","TRI","TUK","VIN","WAL","WHI","WIN","WIT"
"ABS",0,0.0377358490566038,0,0,0,0,0.0266666666666667,0,0,0,0,0,0.0357142857142857,0,0.06,0,0.0131578947368421,0.0384615384615385,0,0.0655737704918033,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.0491803278688525,0,0,0,0,0,0,0,0,0.0149253731343284,0,0,0.028169014084507,0,0,0.48,0,0,0,0,0,0,0,0,0,0.272727272727273,0.0574712643678161,0,0,0,0,0.176470588235294,0.0388349514563107,0,0,0.0166666666666667,0.0340909090909091,0,0,0,0,0,0.0410958904109589,0,0,0,0,0,0,0.0131578947368421,0,0,0,0,0,0,0.0186915887850467,0,0,0,0,0.183098591549296,0.0985915492957746,0,0,0,0,0
"AJA",0.0377358490566038,0,0,0,0,0,0.0612244897959184,0.0294117647058824,0,0,0,0,0.0163934426229508,0,0.037037037037037,0,0.04,0,0,0.0526315789473684,0,0,0,0,0.0217391304347826,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0,0,0,0.0666666666666667,0,0,0.0425531914893617,0,0,0,0,0,0,0,0,0,0.0350877192982456,0,0,0,0,0,0.0377358490566038,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.04,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0.0350877192982456,0.0192307692307692,0,0,0,0,0
"AME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANJ",0,0,0,0,0.0099009900990099,0,0,0,0,0,0.00699300699300699,0,0,0.015625,0,0.0116959064327485,0,0,0,0,0,0,0,0,0,0,0.00980392156862745,0,0,0.016260162601626,0,0.0123456790123457,0,0,0,0,0.00552486187845304,0,0,0,0,0,0,0,0,0,0,0,0.00980392156862745,0,0,0.0198019801980198,0,0.012987012987013,0,0,0,0,0,0,0,0,0,0,0.0178571428571429,0,0,0.027027027027027,0,0,0,0,0.0179640718562874,0,0,0,0,0,0,0,0.00840336134453781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132450331125828,0,0.0217391304347826,0
"ANN",0,0,0,0.0099009900990099,0,0.015748031496063,0,0,0,0,0.00699300699300699,0,0,0,0,0.00581395348837209,0,0,0.0132450331125828,0,0,0,0,0.0072992700729927,0,0,0,0,0,0,0,0.0123456790123457,0,0,0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0.0510204081632653,0,0,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119047619047619,0,0,0.00746268656716418,0,0,0,0.0176991150442478,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00657894736842105,0,0.0143884892086331,0
"ARN",0,0,0,0,0.015748031496063,0,0.0087719298245614,0,0,0,0.0239520958083832,0,0,0,0,0.0869565217391304,0,0,0.0843373493975904,0,0,0,0,0,0,0,0.00775193798449612,0,0.00943396226415094,0.490196078431373,0.015748031496063,0,0,0,0,0,0.00480769230769231,0,0,0,0,0.0153846153846154,0,0,0,0,0.00909090909090909,0,0,0,0.0223880597014925,0.0236220472440945,0,0.0397727272727273,0,0.0101010101010101,0.00961538461538462,0,0.0099009900990099,0,0,0,0,0,0,0,0,0.0143884892086331,0.0357142857142857,0,0.0078125,0,0.0423280423280423,0.015748031496063,0,0.0125,0,0,0,0,0.00684931506849315,0,0.00684931506849315,0,0,0.0166666666666667,0,0,0.0170940170940171,0,0,0.0264900662251656,0,0,0.01875,0,0,0,0.0465116279069767,0,0.0306748466257669,0
"ATI",0.0266666666666667,0.0612244897959184,0,0,0,0.0087719298245614,0,0,0,0,0.00775193798449612,0,0.024390243902439,0,0,0,0.0277777777777778,0,0,0.0163934426229508,0,0,0,0,0.0147058823529412,0,0,0.0140845070422535,0,0,0,0,0,0,0.0338983050847458,0,0,0.0147058823529412,0,0,0,0,0,0,0,0,0.228070175438596,0,0,0.0289855072463768,0,0,0,0,0,0,0.0158730158730159,0,0.0166666666666667,0.0384615384615385,0,0,0,0,0,0.0266666666666667,0.00970873786407767,0,0,0.00847457627118644,0.0232558139534884,0,0,0,0,0,0.028169014084507,0,0,0.01,0,0.0135135135135135,0,0.213114754098361,0,0,0,0,0,0.0192307692307692,0,0,0,0,0,0.0384615384615385,0.0135135135135135,0,0,0,0,0
"BAI",0,0.0294117647058824,0,0,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0,0,0,0,0,0,0.0285714285714286,0,0,0,0,0,0,0,0,0,0.00757575757575758,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0.0147058823529412,0,0,0,0,0,0.0140845070422535,0,0.0113636363636364,0,0.0121951219512195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0.0204081632653061,0,0,0,0,0,0,0,0,0.0384615384615385
"BAQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00943396226415094,0,0,0,0,0.0652173913043478,0,0,0.0230769230769231,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0,0.0246913580246914,0,0,0,0.0545454545454545,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.0113636363636364,0,0,0.0847457627118644,0,0,0,0,0,0,0,0,0.0194174757281553,0,0,0,0,0,0,0
"BCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810810810810811,0,0.0169491525423729,0,0.027027027027027,0.0123456790123457,0.0294117647058824,0,0.0161290322580645,0,0.0126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0
