RKW,Longitude,Latitude,Ecotype,BIO1,BIO2,BIO4,BIO5,BIO6,BIO12,BIO15,BIO19,LC,NDVIM,SRTM,TREE
RKW2047,-123.417,63.217,Pop_2_BorealForest,-47,99,15844,228,-313,339,48,52,1,8157,154,61
RKW2049,-123.417,63.217,Pop_2_BorealForest,-47,99,15844,228,-313,339,48,52,1,8157,154,61
RKW2070,-111.217,55.65,Pop_2_BorealForest,0,122,12092,222,-249,470,59,62,1,8407,606,77
RKW2075,-111.883,60,Pop_2_BorealForest,-30,113,14483,225,-303,349,43,55,1,7036,209,37
RKW2199,-105.5,61.5,Pop_3_Arctic,-80,95,15262,183,-351,326,48,43,1,6388,386,37
RKW2346,-109.554,64.479,Pop_3_Arctic,-111,86,15245,154,-361,257,50,32,7,6570,450,4
RKW7568,-56.453732,51.747733,Pop_6_AtlanticForest,5,73,7984,157,-156,1108,11,283,1,9865,127,54
RKW7580,-137.38,60.1,Pop_1_WestForest,-19,116,9566,180,-214,702,32,199,7,8842,911,31
RKW7588,-134.833,67.667,Pop_2_BorealForest,-87,92,15793,196,-335,290,36,56,7,8217,1,26
RKW7590,-140.52,65.12,Pop_1_WestForest,-84,122,14886,196,-341,265,66,35,7,7589,947,39
RKW7596,-135.2,60.9,Pop_1_WestForest,-19,113,11219,200,-243,264,43,51,1,6540,778,29
RKW7598,-126.82,65.27,Pop_1_WestForest,-56,115,15421,228,-302,319,49,52,7,0,21,39
RKW7613,-85.17,73.03,Pop_4_HighArcticBaffin,-141,71,13251,91,-342,141,71,13,7,4032,98,0
RKW7615,-85.42,77.22,Pop_3_Arctic,-183,62,14801,74,-390,122,57,14,0,0,0,0
RKW7616,-82.5,75.53,Pop_3_Arctic,-214,49,14297,33,-415,309,44,41,0,0,0,0
RKW7621,-116.071472,71.197435,Pop_3_Arctic,-151,65,13726,85,-363,157,63,15,7,3668,291,0
RKW7622,-110.543228,72.538139,Pop_3_Arctic,-164,61,14165,82,-371,88,73,7,7,0,112,0
RKW7640,-84.26,77.19,Pop_3_Arctic,-181,62,14743,75,-388,126,58,14,7,4950,56,0
RKW7645,-86.239593,66.53,Pop_3_Arctic,-123,77,13465,122,-339,188,77,9,16,3428,1,0
RKW7648,-132.667,68.117,Pop_2_BorealForest,-100,89,15115,176,-328,232,43,40,7,7562,296,3
RKW7649,-102.6,66.77,Pop_3_Arctic,-143,74,15051,116,-376,165,69,13,7,7537,255,1
RKW7651,-94.05,61.1,Pop_3_Arctic,-99,88,14895,161,-354,332,51,36,7,5870,1,10
RKW7652,-93.3,69.62,Pop_3_Arctic,-153,74,15249,112,-385,143,67,15,7,9480,15,0
RKW7655,-71.106339,65.937813,Pop_4_HighArcticBaffin,-101,70,11908,111,-301,279,55,27,16,4115,30,0
RKW7656,-77.164757,69.84377,Pop_4_HighArcticBaffin,-137,65,13126,91,-342,194,67,17,16,2262,188,0
RKW369,-71.981011,58.601851,Pop_6_AtlanticForest,-66,76,11867,135,-284,477,40,70,7,6141,200,9
RKW730,-76.68773,56.031699,Pop_6_AtlanticForest,-51,85,12255,149,-287,569,48,64,7,5350,82,8
RKW2040,-115.25,56.55,Pop_2_BorealForest,-2,125,12535,226,-265,457,54,70,5,8567,546,56
RKW2042,-114.833,60.583,Pop_2_BorealForest,-34,102,14259,207,-299,335,39,56,7,7595,194,26
RKW2048,-121.217,61.25,Pop_2_BorealForest,-35,112,15176,229,-305,372,43,57,1,7472,280,47
RKW7565,-59.784318,54.904696,Pop_6_AtlanticForest,-12,83,9557,166,-202,843,17,196,10,7161,49,32
RKW7595,-135.83,63.58,Pop_1_WestForest,-39,126,14514,224,-328,301,49,55,8,8095,576,45
RKW7688,-132.967505,57.062266,Pop_5_BritishColumbia,47,71,5851,175,-67,1960,36,517,5,8803,431,27
RKW7699,-160.764496,67.890492,Pop_1_WestForest,-80,70,12185,132,-267,218,69,31,7,6308,152,1
RKW7700,-160.808,62.204,Pop_1_WestForest,-30,85,10989,170,-210,411,66,60,1,7969,195,45
RKW7701,-149.604,68.633,Pop_1_WestForest,-113,115,14624,167,-353,225,64,31,7,7005,730,1
