HatchingTime_Days,Temperature_Degrees
1.5,20.5
2,24
2.08,21.5
5.63,11
2,17.5
11.5,4.3
9.33,5.2
7.83,6
6.75,7
5.79,8
5.17,8.9
4.43,9.7
4.06,10.6
3.65,11.4
3.36,12.2
2.95,13.2
2.77,13.7
2.48,14.8
2.32,15.6
2.17,16.5
2.13,17.4
1.88,18.4
1.8,19.1
1.76,20
3.7,11
1.75,16
1.5,28.5
1.06,29.5
1.19,28.2
1.04,28.2
10.5,8.3
9,9.4
15,2.8
13,5
11.5,8
4,10.5
2.38,22.5
1.25,21.1
5.4,13
4.5,15
10,9.1
2,21
7,9.8
5,15
2.29,20
7,9
2.5,22
3.71,20.5
1,25
0.7,27.5
1.27,28.5
1,27
4.67,13
2.5,15
2.29,17
5,10
5,10
5,15
3.13,15
3.13,16
1.58,23
4.5,13
1.96,20
0.83,24.5
0.63,28
0.5,28.5
0.38,28.5
2.08,21
2,24.5
1.56,23
0.75,26.4
1.63,20.4
1.67,22
1.67,22.2
1.67,25.5
1.88,18
2.5,19.3
1.66,21
1.17,24
0.75,27
1.88,20
1,20
2,20.5
2.08,20
0.92,23
2,18
1.5,21
1,27
1.54,24
2.04,22
0.96,27.5
1.13,23.7
1.67,21.5
1.81,21.1
1.5,23.3
1,25
4.5,16.8
1.08,24
1.04,26.5
2.08,18.5
2,28.5
7.38,7.4
2.06,21
2.04,19.5
2.08,20
1.85,18.7
1.4,24.4
1.34,30.1
0.88,28.8
1.1,26.7
1.04,25
0.65,29
1.02,25.5
6.08,11.5
3,14.6
2.33,22.9
3.06,17.5
5.92,9.1
7,11.5
5.42,13.5
5.29,14
5.17,14.2
5,15
4.71,16.3
3,17.7
9.5,10
7,12
5,14.5
3,14.5
7,9
12,7
3,10
5.5,15.3
8.8,8.8
6,6
8,8.6
16,6
9,5
2,27.3
