Predation,Weather,SBL
High,Sunny,25.095
High,Sunny,23.823
High,Sunny,24.157
High,Sunny,25.937
High,Sunny,24.775
High,Sunny,25.966
High,Sunny,31.227
High,Sunny,22.988
High,Sunny,12
High,Sunny,12.257
High,Sunny,26.306
High,Sunny,17.951
High,Sunny,21.499
High,Sunny,26.541
High,Cloudy,32.998
High,Cloudy,29.105
High,Cloudy,24.667
High,Cloudy,28.103
High,Cloudy,24.594
High,Cloudy,29.702
High,Cloudy,26.683
High,Cloudy,26.264
High,Cloudy,28.79
High,Cloudy,19.516
High,Cloudy,24.501
High,Cloudy,25.342
High,Rain,23.898
High,Rain,30.74
High,Cloudy,16.667
High,Cloudy,17.155
High,Cloudy,17.747
High,Cloudy,17.333
High,Cloudy,17.448
High,Cloudy,19.743
High,Cloudy,14.267
High,Cloudy,21.838
High,Cloudy,16.56
High,Cloudy,18.974
High,Cloudy,17.333
High,Cloudy,17.346
High,Sunny,17.714
High,Sunny,21.468
High,Cloudy,16.275
High,Cloudy,21.929
High,Cloudy,17.333
High,Cloudy,21.187
High,Cloudy,22.706
High,Cloudy,19.607
High,Cloudy,18.049
High,Cloudy,22.676
High,Sunny,23.935
High,Sunny,17.537
High,Sunny,18.962
High,Sunny,20.266
High,Cloudy,30.067
High,Cloudy,23.898
High,Sunny,14.386
High,Sunny,12.019
High,Sunny,19.09
High,Sunny,22.091
High,Sunny,17.537
High,Sunny,16.879
High,Sunny,19.437
High,Sunny,18.135
High,Sunny,17.615
High,Sunny,19.345
High,Sunny,24.331
High,Sunny,23.485
High,Sunny,24.157
High,Sunny,18.135
High,Sunny,32.035
High,Sunny,28.135
High,Sunny,25.201
High,Sunny,27.138
High,Sunny,26.775
High,Sunny,28.103
High,Sunny,23.898
High,Sunny,29.401
High,Sunny,31.51
High,Sunny,31.34
High,Sunny,30.475
High,Sunny,26.136
High,Sunny,31.363
High,Sunny,27.171
High,Cloudy,19.241
High,Cloudy,17.834
High,Cloudy,19.414
High,Cloudy,20.055
High,Cloudy,21.344
High,Cloudy,20.855
High,Cloudy,19.821
High,Cloudy,21.685
High,Sunny,17.385
High,Sunny,16.997
