ID,GoodPrey,PoorPrey,Trial1,Trial2,Trial3,Trial4
1,7,43,2,3,11,7
2,6,28,2,5,9,8
3,11,61,3,3,8,6
4,8,26,2,4,5,5
5,6,30,2,5,8,16
6,5,31,1,5,9,10
7,5,32,3,2,9,5
8,6,15,3,5,8,7
9,5,31,3,5,12,9
10,9,34,4,5,6,10
11,8,47,1,5,12,6
12,6,58,2,4,11,8
13,8,31,1,5,13,11
14,10,49,1,5,13,5
15,11,60,2,3,10,5
16,8,59,3,3,7,9
17,5,51,1,5,10,6
18,8,35,1,5,10,10
19,10,31,4,5,8,8
20,10,55,4,5,8,7
21,6,56,1,5,13,8
22,7,50,3,5,10,6
23,5,34,1,5,12,10
24,7,55,2,3,9,7
25,6,27,1,5,11,14
26,5,36,3,5,10,10
27,12,54,2,4,11,6
28,8,64,2,4,11,7
29,7,39,4,5,9,11
30,8,39,3,5,7,6
31,8,65,2,3,7,9
32,10,49,3,5,6,7
33,9,33,3,3,10,12
34,17,58,2,3,10,6
35,10,32,1,5,8,10
36,5,51,5,3,10,7
37,12,49,2,4,8,8
38,7,42,3,5,12,8
39,8,45,4,5,7,9
40,7,40,2,5,14,7
41,8,55,3,5,12,8
42,23,45,4,5,6,6
43,8,65,2,4,11,6
44,8,58,3,3,7,7
45,7,62,2,4,8,4
46,9,35,2,5,8,7
47,10,81,4,3,8,8
48,4,32,5,5,10,16
49,4,35,3,5,7,9
50,6,47,2,4,10,8
51,9,48,2,4,12,6
52,7,55,3,5,12,6
53,6,30,2,5,12,8
54,8,52,4,4,15,8
55,5,48,3,5,7,10
56,7,54,2,5,10,8
57,8,40,3,5,11,6
58,5,38,3,3,11,12
59,14,69,1,4,8,6
60,9,40,2,5,11,15
61,12,31,2,5,12,13
62,3,36,1,4,11,9
63,7,45,2,4,8,11
64,7,76,2,3,8,6
65,7,34,4,5,6,9
66,8,56,3,4,15,14
67,6,43,1,5,10,8
68,4,30,5,4,5,3
69,4,9,4,5,7,9
70,10,43,5,5,12,12
71,10,57,2,5,9,7
72,7,48,3,4,11,6
73,12,33,6,5,20,5
74,5,77,3,3,5,5
75,8,48,3,4,10,8
76,7,45,3,5,10,11
77,7,57,3,5,14,8
78,5,24,1,5,11,13
79,20,62,2,2,11,4
