ID,tool,sex,Forage,Rest,Travel,Socialize
ABS,S,M,0.45,0.225,0.15,0.1
AJA,S,M,0.4,0.133333333,0.2,0.066666667
AME,NS,F,1,0,0,0
ANJ,NS,F,0.392156863,0.098039216,0.254901961,0.039215686
ANN,NS,F,0.490196078,0.215686275,0.196078431,0.019607843
ARN,NS,F,0.512820513,0.179487179,0.192307692,0.025641026
ATI,S,M,0.540540541,0.135135135,0.081081081,0.162162162
BAI,S,F,0.7,0.05,0.15,0
BAQ,NS,F,0.4,0.05,0.3,0.15
BCD,S,F,0.727272727,0.090909091,0.090909091,0.090909091
BEC,NS,M,0.301075269,0.35483871,0.204301075,0.064516129
BEN,NS,F,0.157894737,0.368421053,0.315789474,0.052631579
BIL,S,F,0.382978723,0.212765957,0.106382979,0.063829787
BNN,NS,F,0.571428571,0.071428571,0.357142857,0
BNO,S,M,0.230769231,0.076923077,0.230769231,0.076923077
BRA,NS,F,0.401639344,0.278688525,0.196721311,0.049180328
BUC,S,F,0.513513514,0.162162162,0.162162162,0.027027027
BUN,S,F,0.785714286,0.071428571,0,0.071428571
CAO,NS,F,0.382352941,0.274509804,0.205882353,0.039215686
COC,S,M,0.44,0.04,0.28,0.16
COR,S,F,0.7,0.05,0,0.05
CRT,S,F,0.6875,0,0.125,0.0625
CUB,S,F,0.6,0.25,0.05,0
DAB,NS,M,0.310344828,0.206896552,0.172413793,0.275862069
DAI,S,F,0.65625,0.09375,0.0625,0.09375
DAL,NS,F,0.8,0,0.2,0
DAM,NS,F,0.423076923,0.134615385,0.288461538,0.096153846
DEP,S,M,0.485714286,0.2,0.114285714,0.114285714
DET,NS,F,0.379310345,0.310344828,0.172413793,0.034482759
DEV,NS,F,0.472972973,0.135135135,0.189189189,0.054054054
DGG,NS,F,0.549019608,0.176470588,0.078431373,0.058823529
DOO,NS,M,0.353982301,0.194690265,0.17699115,0.247787611
DRO,NS,F,0.333333333,0.166666667,0.416666667,0
DUN,S,F,0.685714286,0.028571429,0.228571429,0
EMU,S,F,0.375,0.166666667,0.25,0.125
ESK,NS,F,0.666666667,0.055555556,0.25,0.027777778
EST,NS,M,0.404580153,0.167938931,0.152671756,0.236641221
FAJ,S,F,0.6875,0.0625,0.21875,0
FRA,S,F,0.785714286,0.071428571,0.142857143,0
GIN,S,F,0.666666667,0.166666667,0.166666667,0
GMP,NS,F,0.545454545,0.181818182,0.090909091,0.181818182
GRE,NS,M,0.277777778,0.240740741,0.240740741,0.111111111
GUI,S,F,0.727272727,0.090909091,0.121212121,0.03030303
HEA,NS,F,0.214285714,0.321428571,0.285714286,0.071428571
HIP,S,F,0.565217391,0.086956522,0.304347826,0
HMT,NS,F,0.3,0.1,0.4,0.2
IVA,S,M,0.454545455,0.121212121,0.151515152,0.181818182
JAC,S,F,0.666666667,0,0.166666667,0
JIM,NS,F,0.519230769,0.211538462,0.173076923,0.019230769
JON,S,M,0.411764706,0.205882353,0.176470588,0.117647059
JUF,NS,F,0.508474576,0.220338983,0.169491525,0.033898305
JUL,NS,M,0.326923077,0.269230769,0.269230769,0.057692308
KAH,S,F,0.413793103,0.206896552,0.24137931,0.103448276
