id_individual,id
SAL,DIP_2007_0001
TEQ,DIP_2007_0006
MAR,DIP_2007_0006
DOO,DIP_2007_0008
LIM,DIP_2007_0011
LEM,DIP_2007_0011
TRI,DIP_2007_0012
POO,DIP_2007_0017
KAN,DIP_2007_0017
WIN,DIP_2007_0017
SUN,DIP_2007_0024
MAR,DIP_2007_0026
DAB,DIP_2007_0028
DOO,DIP_2007_0028
DET,DIP_2007_0038
BAQ,DIP_2007_0038
OPH,DIP_2007_0038
ANN,DIP_2007_0043
POO,DIP_2007_0044
KAN,DIP_2007_0044
WIN,DIP_2007_0044
SAL,DIP_2007_0046
JIM,DIP_2007_0047
DAI,DIP_2007_0048
VIN,DIP_2007_0058
SUN,DIP_2007_0064
JAC,DIP_2007_0073
EMU,DIP_2007_0077
EST,DIP_2007_0080
SPI,DIP_2007_0084
FAJ,DIP_2007_0085
BEC,DIP_2007_0086
ROG,DIP_2007_0086
MOJ,DIP_2007_0086
TRI,DIP_2007_0087
LIM,DIP_2007_0092
LEM,DIP_2007_0092
LIZ,DIP_2007_0092
LIE,DIP_2007_0092
EMU,DIP_2007_0093
EST,DIP_2007_0095
JIM,DIP_2007_0098
JIM,DIP_2007_0101
MOJ,DIP_2007_0103
ROG,DIP_2007_0103
BEC,DIP_2007_0103
WIN,DIP_2007_0105
KAN,DIP_2007_0105
WAL,DIP_2007_0105
POO,DIP_2007_0105
ANN,DIP_2007_0110
WAL,DIP_2007_0111
KAN,DIP_2007_0111
JIM,DIP_2007_0118
SAL,DIP_2007_0119
ROG,DIP_2007_0121
ANJ,DIP_2007_0122
CUB,DIP_2007_0123
PIN,DIP_2007_0124
BEN,DIP_2007_0126
AJA,DIP_2007_0127
ABS,DIP_2007_0128
SPI,DIP_2007_0136
JIM,DIP_2007_0136
MOE,DIP_2007_0137
COR,DIP_2007_0137
MOE,DIP_2007_0139
SPI,DIP_2007_0139
EST,DIP_2007_0141
DOO,DIP_2007_0141
MIT,DIP_2007_0141
ANN,DIP_2007_0144
BUN,DIP_2007_0148
SAL,DIP_2007_0151
KAN,DIP_2007_0157
MAR,DIP_2007_0162
GUI,DIP_2007_0162
GIN,DIP_2007_0163
JIM,DIP_2007_0164
SAL,DIP_2007_0164
JIM,DIP_2007_0166
SAM,DIP_2007_0169
