habituation_odour,test_fight,aggressiveness
OwnColony,ColonyB,1.210643016
OwnColony,ColonyB,1.968
ColonyB,ColonyB,0.317498021
ColonyB,ColonyB,0.423719056
OwnColony,ColonyB,0.268211921
OwnColony,ColonyB,1.074747475
ColonyB,ColonyB,0.269086358
ColonyB,ColonyB,0.369809203
OwnColony,ColonyB,1.060233743
ColonyB,ColonyB,0.201892744
ColonyB,ColonyB,0.072815534
ColonyB,ColonyB,0.068866571
OwnColony,ColonyB,0.375504711
OwnColony,ColonyB,0.634937238
ColonyB,ColonyB,0.166493236
OwnColony,ColonyB,0.957136734
OwnColony,ColonyC,1.34057971
OwnColony,ColonyC,0.36858006
OwnColony,ColonyC,0.786824114
OwnColony,ColonyC,0.681784387
OwnColony,ColonyC,0.262396694
OwnColony,ColonyC,1.093975209
ColonyB,ColonyC,0.47107438
ColonyB,ColonyC,1.019808743
ColonyB,ColonyC,0
ColonyB,ColonyC,1.159196291
ColonyB,ColonyC,1
ColonyB,ColonyC,0.356711565
OwnColony,ColonyB,1.004046243
ColonyB,ColonyB,0.474248927
OwnColony,ColonyB,1.418567639
ColonyB,ColonyB,0.589696412
OwnColony,ColonyB,0.302052786
ColonyB,ColonyB,1.147107438
ColonyB,ColonyB,1.011210762
OwnColony,ColonyB,1.068167985
ColonyB,ColonyB,1.374462861
OwnColony,ColonyB,1.691364333
ColonyB,ColonyB,0.104424073
ColonyB,ColonyB,0.055876686
ColonyB,ColonyB,0.176754151
OwnColony,ColonyB,2.205152079
OwnColony,ColonyB,0.683647799
OwnColony,ColonyB,0.297413793
ColonyB,ColonyC,1.283733333
ColonyB,ColonyC,0.731504572
OwnColony,ColonyC,0.638055843
OwnColony,ColonyC,0.063442538
ColonyB,ColonyC,1.526598341
ColonyB,ColonyC,0.73501199
ColonyB,ColonyC,2.011775362
ColonyB,ColonyC,1.064705882
OwnColony,ColonyC,0.447470817
OwnColony,ColonyC,2.112944255
OwnColony,ColonyC,0.742843309
OwnColony,ColonyC,1.703265396
ColonyB,ColonyB,1.546099291
ColonyB,ColonyB,0.876492384
OwnColony,ColonyB,0.941279273
ColonyB,ColonyB,0.206034746
ColonyB,ColonyB,0
OwnColony,ColonyB,2.261453669
ColonyB,ColonyB,0.335740072
OwnColony,ColonyB,2.142553191
OwnColony,ColonyB,1.041875
OwnColony,ColonyB,2.805466238
OwnColony,ColonyB,0.656126482
ColonyB,ColonyB,0.066878981
ColonyB,ColonyB,0.304383449
ColonyB,ColonyB,0.025768911
OwnColony,ColonyB,0.406763739
OwnColony,ColonyB,1.556797967
OwnColony,ColonyC,0.644243208
OwnColony,ColonyC,0.83885374
ColonyB,ColonyC,0.253075571
OwnColony,ColonyC,0.582493369
OwnColony,ColonyC,0.622786022
ColonyB,ColonyC,0.055473006
OwnColony,ColonyC,1.002270577
OwnColony,ColonyC,2.145240432
ColonyB,ColonyC,1.116742206
ColonyB,ColonyC,0.174648695
