Species,Site 1,Site 2,P1,P2,Site 1 ln(abundance),Site 2 ln(abundance)
wildebeest,671,0,0.573504274,,6.508769137,
gazelle (thomposns),247,0,0.211111111,,5.509388337,
zebra,185,0,0.158119658,,5.220355825,
gazelle (grants),43,0,0.036752137,,3.761200116,
elephant,6,0,0.005128205,,1.791759469,
impala,6,0,0.005128205,,1.791759469,
giraffe,4,0,0.003418803,,1.386294361,
hippo,2,0,0.001709402,,0.693147181,
lion,2,0,0.001709402,,0.693147181,
baboon,1,0,0.000854701,,0,
hartebeest,1,0,0.000854701,,0,
steenbok,1,0,0.000854701,,0,
topi,1,0,0.000854701,,0,
red deer,0,248,,0.58490566,,5.513428746
wild boar,0,107,,0.252358491,,4.672828834
mouflon,0,33,,0.077830189,,3.496507561
roe deer,0,19,,0.044811321,,2.944438979
fallow deer,0,13,,0.030660377,,2.564949357
badger,0,1,,0.002358491,,0
cat,0,1,,0.002358491,,0
golden jackal,0,1,,0.002358491,,0
hare,0,1,,0.002358491,,0
